respiratory difficulty,Dyspnea
respiratory distress,Dyspnea
short of breath,Dyspnea
shortness of breath,Dyspnea
shortness of breath or difficulty breathing,Dyspnea
sob,Dyspnea
trouble breathing,Dyspnea
wheezing,Dyspnea
asthenia,Fatigue
debilitation,Fatigue
exhausted,Fatigue
exhaustion,Fatigue
extreme fatigue,Fatigue
fatigue,Fatigue
feeling faint,Fatigue
feeling fatigued,Fatigue
feeling weak,Fatigue
generalized fatigue,Fatigue
lethargy,Fatigue
loss of energy,Fatigue
low energy,Fatigue
malaise,Fatigue
malaise ,Fatigue
no energy,Fatigue
out of it,Fatigue
poor exercise tolerance,Fatigue
post-exertional malaise,Fatigue
profound fatigue,Fatigue
prostration,Fatigue
sleepy,Fatigue
tired,Fatigue
tiredness,Fatigue
weakness,Fatigue
weariness,Fatigue
worn out,Fatigue
chills,Fever
diaphoresis,Fever
diaphoretic,Fever
elevated temp,Fever
elevated temperature,Fever
f/c,Fever
f/c ,Fever
febrile,Fever
fever,Fever
fever or chills,Fever
fever/chills,Fever
high temp,Fever
high temperature,Fever
hyperpyrexia,Fever
hyperthermia,Fever
intermittent fever,Fever
night sweats,Fever
rigors,Fever
shakes,Fever
shakey,Fever
shakiness,Fever
shivering,Fever
sweaty,Fever
tremor,Fever
alopecia,Hair loss
diffuse hair loss,Hair loss
hair falling out,Hair loss
hair loss,Hair loss
hair thinning,Hair loss
hairloss,Hair loss
increased hair shedding,Hair loss
losing hair,Hair loss
thinning hair,Hair loss
bifrontal headache,Headaches
bitemporal headache,Headaches
blurred vision,Headaches
blurry vision,Headaches
cephalalgia,Headaches
cephalic pain,Headaches
dull headache,Headaches
frontal ha,Headaches
frontal headache,Headaches
frontal throbbing,Headaches
ha ,Headaches
head ache,Headaches
headache,Headaches
headaches,Headaches
light sensitivity,Headaches
migraine,Headaches
mild frontal headache,Headaches
neck stiffness,Headaches
occipital headache,Headaches
phonophobia,Headaches
photophobia,Headaches
photophobic,Headaches
pounding headache,Headaches
terrible headache,Headaches
throbbing headache,Headaches
typical migraine,Headaches
visual changes,Headaches
visual disturbances,Headaches
cannot fall asleep,Insomnia
daytime somnolence,Insomnia
delayed sleep onset,Insomnia
difficulties falling asleep,Insomnia
difficulty falling asleep,Insomnia
difficulty staying asleep,Insomnia
eds,Insomnia
excessive daytime sleepiness,Insomnia
feeling unrested,Insomnia
frequent awakenings,Insomnia
having trouble falling asleep,Insomnia
insomnia,Insomnia
interrupted sleep,Insomnia
napping during the day,Insomnia
naps during day,Insomnia
no restful sleep,Insomnia
not waking up refreshed ,Insomnia
poor sleep,Insomnia
sleep disturbance,Insomnia
sleep symptoms,Insomnia
sleeps during day,Insomnia
trouble falling asleep,Insomnia
trouble sleeping,Insomnia
wake up at night,Insomnia
wakes frequently,Insomnia
wakes up frequently,Insomnia
arthralgia,Joint pain
arthritis,Joint pain
joint pain,Joint pain
joint stiffness,Joint pain
jp,Joint pain
cognitive decline,Memory loss
cognitive deficit,Memory loss
cognitive deficits,Memory loss
cognitive dysfunction,Memory loss
cognitive impairment,Memory loss
difficulties with executive function ,Memory loss
difficulty finding words,Memory loss
long term memory loss,Memory loss
memory difficulties,Memory loss
memory impairment,Memory loss
memory loss,Memory loss
memory problems,Memory loss
mild cognitive impairment,Memory loss
occasional word finding difficulty,Memory loss
problem-solving difficulties,Memory loss
short term memory deficits,Memory loss
short term memory issues,Memory loss
trouble finding words,Memory loss
word finding difficulties,Memory loss
word finding difficulty,Memory loss
muscle aches,Muscle pain
muscle cramps,Muscle pain
myalgias,Muscle pain
abdominal bloating,Nausea vomiting
abdominal cramping,Nausea vomiting
abdominal cramps,Nausea vomiting
abdominal pain,Nausea vomiting
anorexia,Nausea vomiting
cramps,Nausea vomiting
dry heaves,Nausea vomiting
dyspepsia,Nausea vomiting
emesis,Nausea vomiting
food aversion,Nausea vomiting
gagging,Nausea vomiting
gastrointestinal symptoms,Nausea vomiting
gi symptoms,Nausea vomiting
heartburn,Nausea vomiting
n/v,Nausea vomiting
nausea,Nausea vomiting
nausea or vomiting,Nausea vomiting
nausea/vomiting,Nausea vomiting
not eating,Nausea vomiting
not hungry,Nausea vomiting
poor appetite,Nausea vomiting
purgation,Nausea vomiting
queasiness,Nausea vomiting
queasy,Nausea vomiting
retching,Nausea vomiting
stomach sickness,Nausea vomiting
throwing up,Nausea vomiting
upset stomach,Nausea vomiting
vomiting,Nausea vomiting
bradycardia,Palpitation
heart palpitations,Palpitation
irregular heartbeats,Palpitation
occasional palpitations,Palpitation
palpations,Palpitation
palpitations,Palpitation
persistent tachycardia,Palpitation
persistently tachycardic,Palpitation
presyncope,Palpitation
racing heart,Palpitation
racing heart beat,Palpitation
sinus tachycardia,Palpitation
svt,Palpitation
tachcardia,Palpitation
tachycardia,Palpitation
tachycardiac ,Palpitation
tachycardic,Palpitation
congested,Rhinitis congestion
congestion,Rhinitis congestion
congestion or runny nose,Rhinitis congestion
mucusy,Rhinitis congestion
nasal congestion,Rhinitis congestion
nasal discharge,Rhinitis congestion
rhinitis,Rhinitis congestion
rhinorrhea,Rhinitis congestion
runny nose,Rhinitis congestion
sinus congestion,Rhinitis congestion
sniffles,Rhinitis congestion
stuffy nose,Rhinitis congestion
an itchy rash,Skin rash
blotches,Skin rash
bug bites,Skin rash
bumpy,Skin rash
bumpy rash,Skin rash
hive-like,Skin rash
hive-like rash,Skin rash
hives,Skin rash
intensely itchy,Skin rash
itch,Skin rash
itches,Skin rash
itchiness,Skin rash
itching,Skin rash
itchy,Skin rash
itchy rash,Skin rash
macular rash ,Skin rash
mildly itchy,Skin rash
mildly pruritic,Skin rash
nonpruritic rash,Skin rash
papular rash,Skin rash
pimple like rash,Skin rash
pruritic rash,Skin rash
pruritus,Skin rash
prutitic,Skin rash
raised bumps,Skin rash
raised red bumps,Skin rash
rash,Skin rash
rash anywhere else,Skin rash
rash itches,Skin rash
red blotchy rash,Skin rash
red bumps,Skin rash
red bumpy rash,Skin rash
red dots,Skin rash
red itchy bumps,Skin rash
red itchy rash,Skin rash
red raised bumps,Skin rash
red raised rash,Skin rash
red spots,Skin rash
slightly pruritic,Skin rash
small red dots,Skin rash
small red spots,Skin rash
spreading rash,Skin rash
very itchy,Skin rash
very pruritic,Skin rash
welts,Skin rash
difficulty swallowing,Sore throat
dysphagia,Sore throat
hoarse voice,Sore throat
laryngitis,Sore throat
odynophagia,Sore throat
painful swallowing,Sore throat
pharyngitis,Sore throat
scratchy throat,Sore throat
sore throat,Sore throat
throat irritation,Sore throat
throat pain,Sore throat
ageusia,Taste smell loss
anosmia,Taste smell loss
can't smell,Taste smell loss
can't taste,Taste smell loss
cannot smell,Taste smell loss
cannot taste,Taste smell loss
distaste,Taste smell loss
distaste  ,Taste smell loss
dysgeusia,Taste smell loss
dysosmia,Taste smell loss
hypogeusia,Taste smell loss
hypogeusia ,Taste smell loss
lack of olfactory sense,Taste smell loss
loss of smell,Taste smell loss
loss of taste,Taste smell loss
metallic taste,Taste smell loss
new loss of taste or smell,Taste smell loss
confusion,Thinking difficulty
delirium,Thinking difficulty
difficulties with thinking and concentration,Thinking difficulty
discombobulation,Thinking difficulty
disorientation,Thinking difficulty
distracted ,Thinking difficulty
distractibility ,Thinking difficulty
impaired concentration,Thinking difficulty
out of it,Thinking difficulty
poor attention,Thinking difficulty
poor concentration,Thinking difficulty
thinking difficulty,Thinking difficulty
trouble concentrating,Thinking difficulty
